,City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
0,Lagoa,75,PT,1514354400,87,37.14,-8.45,289.15,11.8
1,Vuktyl,56,RU,1514355308,75,63.86,57.31,258.131,1.71
2,Saint-Philippe,1,CA,1514354100,59,45.36,-73.48,256.15,4.31
3,Torbay,90,CA,1514354400,54,47.66,-52.73,271.15,17.0
4,Gigmoto,80,PH,1514355310,100,13.78,124.39,299.956,6.76
5,Hutchinson,90,US,1514350560,60,38.06,-97.93,263.15,4.6
6,Bredasdorp,0,ZA,1514350800,72,-34.53,20.04,292.15,1.0
7,Flinders,75,AU,1514350800,57,-34.58,150.85,298.15,8.2
8,Hithadhoo,68,MV,1514355318,100,-0.6,73.08,300.331,4.81
9,Bluff,12,AU,1514355319,36,-23.58,149.07,307.106,5.01
10,Atuona,36,PF,1514355319,100,-9.8,-139.03,299.131,6.01
11,Matara,64,PE,1514355320,97,-13.74,-72.9,278.531,0.86
12,Pacifica,20,US,1514354160,81,37.61,-122.49,282.15,2.6
13,Kapaa,75,US,1514353200,100,22.08,-159.32,294.15,1.5
14,Puerto Ayora,76,EC,1514355321,100,-0.74,-90.35,294.381,4.06
15,Inhambane,76,MZ,1514355322,89,-23.87,35.38,297.256,6.76
16,Yellowknife,75,CA,1514354400,75,62.45,-114.38,244.15,3.6
17,Zarcero,0,CR,1514350800,68,10.19,-84.39,293.15,7.2
18,Wanaka,8,NZ,1514355323,34,-44.7,169.14,290.481,1.31
19,Vaini,0,IN,1514355324,45,15.34,74.49,300.106,3.86
20,Punta Arenas,90,CL,1514350800,70,-53.16,-70.91,281.15,3.6
21,Butaritari,88,KI,1514355328,99,3.07,172.79,301.481,7.06
22,Port Alfred,20,ZA,1514355330,83,-33.59,26.89,294.131,4.26
23,Hilo,40,US,1514352660,81,19.71,-155.08,297.15,6.46
24,Honiara,40,SB,1514354400,66,-9.43,159.96,304.15,1.0
25,Kaduy,92,RU,1514355333,90,59.2,37.15,269.831,4.11
26,Tiksi,48,RU,1514355333,72,71.64,128.87,251.931,8.56
27,Iqaluit,90,CA,1514354400,78,63.75,-68.52,263.15,3.1
28,Nuuk,20,GL,1514355334,100,64.17,-51.74,259.481,3.86
29,Lebu,0,ET,1514354400,35,8.96,38.73,287.15,3.6
30,Baijiantan,88,CN,1514355335,93,45.63,85.18,265.281,3.86
31,Mortka,88,RU,1514355336,82,59.33,66.02,259.781,1.21
32,Salym,76,RU,1514355336,69,60.06,71.48,256.331,1.61
33,Heinola,75,FI,1514353800,93,61.2,26.03,275.15,3.6
34,Ushuaia,90,AR,1514350800,70,-54.81,-68.31,281.15,2.1
35,Kosonsoy,0,UZ,1514352600,51,41.25,71.55,275.15,6.2
36,Fortuna,0,ES,1514354400,54,38.18,-1.13,288.15,6.7
37,Tuktoyaktuk,90,CA,1514354400,83,69.44,-133.03,258.15,3.1
38,Preobrazheniye,0,RU,1514355342,47,42.9,133.91,258.581,4.36
39,Van Buren,90,US,1514350560,63,47.16,-67.94,255.15,6.2
40,Leningradskiy,12,RU,1514355344,92,69.38,178.42,251.631,2.31
41,Busselton,0,AU,1514355347,94,-33.64,115.35,294.531,6.56
42,Serenje,92,ZM,1514355348,100,-13.23,30.22,291.231,2.11
43,Hermanus,0,ZA,1514355348,77,-34.42,19.24,289.331,1.86
44,Souillac,92,FR,1514354400,87,45.6,-0.6,280.15,1.5
45,Mataura,0,NZ,1514355350,53,-46.19,168.86,289.956,4.21
46,Avarua,75,CK,1514354400,83,-21.21,-159.78,300.15,5.1
47,Snezhnogorsk,75,RU,1514352600,85,69.19,33.23,262.15,1.0
48,Saldanha,48,PT,1514355351,91,41.42,-6.55,279.081,5.86
49,Tolaga Bay,92,NZ,1514355351,80,-38.37,178.3,286.781,10.31
50,Rosarito,40,CO,1514350800,88,4.91,-75.23,293.15,1.5
51,Hobart,0,AU,1514354400,30,-42.88,147.33,303.15,5.7
52,Terrell,90,US,1514354100,60,32.74,-96.28,278.15,3.6
53,Tautira,75,PF,1514354400,88,-17.73,-149.15,298.15,2.1
54,Sambava,76,MG,1514355359,100,-14.27,50.17,299.356,1.61
55,Shimoda,40,JP,1514351640,69,34.7,138.93,281.15,8.2
56,Aklavik,90,CA,1514354760,76,68.22,-135.01,250.15,2.6
57,Port Blair,76,IN,1514355362,100,11.67,92.75,301.006,6.21
58,Daru,0,SL,1514355363,77,7.99,-10.85,291.531,1.06
59,Dikson,88,RU,1514355363,100,73.51,80.55,260.606,9.16
60,Norman Wells,75,CA,1514354400,68,65.28,-126.83,247.15,1.5
61,Rikitea,92,PF,1514355364,100,-23.12,-134.97,297.606,8.91
62,Adrar,0,DZ,1514354400,51,27.87,-0.29,276.15,3.1
63,Kodiak,1,US,1514350380,70,39.95,-94.76,255.15,3.1
64,Iskateley,36,RU,1514355366,75,67.68,53.15,260.731,6.71
65,Groningen,75,NL,1514354100,86,53.22,6.57,278.15,5.1
66,Jalu,64,LY,1514355366,92,29.03,21.55,280.881,1.31
